,E,sigma,E_err,sigma_err
0,0.22301724137931034,0.007077062004856151,0.04801724137931035,0.0004734571775201089
1,0.31905172413793104,0.00701758410791768,0.04801724137931035,0.0005081341821112609
2,0.41508620689655173,0.008803857879216188,0.04801724137931035,0.0005987085142121337
3,0.5111206896551724,0.007612361077421485,0.04801724137931038,0.0006386683708919463
4,0.6071551724137931,0.012764505800744112,0.048017241379310294,0.001423039721163713
5,0.7031896551724138,0.08586080190525028,0.048017241379310405,0.010439992562441755
6,0.7992241379310345,0.06361110994570487,0.048017241379310294,0.0047277514384433846
7,0.8952586206896552,0.05575791160251856,0.048017241379310405,0.0043603081553347245
8,0.9912931034482759,0.041642893439538024,0.048017241379310294,0.004296899950265394
9,1.0873275862068965,0.03960011511323078,0.048017241379310405,0.004508476490443409
10,1.1833620689655175,0.028589167748071114,0.048017241379310405,0.002839050591992619
11,1.2793965517241381,0.024514341190883082,0.048017241379310294,0.0018284251145542219
12,1.3754310344827587,0.021304304365034898,0.048017241379310294,0.0014675733022793559
13,1.4714655172413793,0.0252182457899684,0.048017241379310405,0.0020730321288080517
14,1.5675000000000003,0.022007324890358,0.048017241379310405,0.002307379311718292
15,1.663534482758621,0.02324063320801911,0.048017241379310294,0.0020148395481091683
16,1.7595689655172415,0.024799700625413732,0.048017241379310294,0.0019321490197420754
17,1.855603448275862,0.029430550826226625,0.048017241379310405,0.0035807307302825643
18,1.9516379310344831,0.030732517019981073,0.048017241379310405,0.003411991518368124
19,2.0476724137931037,0.03351111361230517,0.04801724137931018,0.0041452634337150185
20,2.1437068965517243,0.04233593304097613,0.048017241379310294,0.004196460059466087
21,2.239741379310345,0.05427179740481414,0.048017241379310516,0.006181025697312225
22,2.3357758620689655,0.06243293219042248,0.048017241379310294,0.006183446214733438
23,2.4318103448275865,0.08387750911937472,0.048017241379310294,0.008656728037766716
24,2.5278448275862067,0.01060870344528705,0.048017241379310294,0.0012500441699636253
25,2.6238793103448277,0.008184201807582912,0.048017241379310294,0.0005236974901830812
26,2.7199137931034483,0.00791782186083714,0.048017241379310516,0.0006769879528154082
27,2.815948275862069,0.006198580155653597,0.048017241379310294,0.0004129083253957247
28,2.91198275862069,0.007757137412261857,0.048017241379310294,0.0005918007646532612
